FS_PERM_SEC_ID,FF_MKT_VAL_CURR,DATE,FF_FPNC,FF_SALES,FF_OPER_EXP_TOT,FF_CASH_ST,FF_CASH_ONLY,FF_INVEN,FF_ASSETS_CURR,FF_INTANG,FF_ASSETS,FF_LIABS_CURR,FF_DEBT_ST,FF_PAY_ACCT,FF_DEBT_LT,FF_COM_EQ,FF_DEBT,FF_SHLDRS_EQ,FF_WKCAP_CHG,FF_DIV_CF,FF_BPS,FF_COM_SHS_OUT,FF_PPE_NET,FF_RECEIV_ST,FF_DIV_PAY_OUT_PS,FF_AMORT_CF,FF_COM_EQ_RETAIN_EARN,FF_DEP_EXP,FF_GW,FF_PENS_EXP_NPP_NET,FF_DEBT_ST_NOTES_PAY,FF_DIV_COM_CF,FF_DEBT_LT_REDUCT_CF,FF_COGS_XDEP,FF_DEP_AMORT_EXP,FF_RD_EXP,FF_COGS,FF_INT_EXP_NET,FF_NET_INC,FF_LIABS,FF_OPER_CF,FF_CAPEX,FF_EBITDA_OPER,FF_SGA,FF_EBIT_OPER,FF_WKCAP
KL8QT0-S-ZW,625.395,20100331,201003,76.990354,60.250536,9.649747,6.813622,16.235684,52.009705,0.186753,89.497884,18.625166,4.142513,4.584638,0.26845,56.965133,4.410963,56.965133,-6.561305,0.289449,0.29627,192.271185,37.028452,18.757751,20.7772795216741,,35.819081,1.238167,0.186753,,,0.289449,,42.385599,1.238167,1.443375,43.623766,1.099681,12.823326,30.115927,10.865335,3.559788,17.97799,16.62677,16.73982,33.384539
B7047X-S-EC,,20101231,201012,112.56787514,91.58942677,28.48790663,,,81.58922751,0,188.83282113,27.68381825,8.51910832,,11.03727062,121.5392556,19.55637894,121.5392556,,,0.91914,132.23179445,107.23332846,,73.0584080286092,,,,,,,,,69.58549827,5.06463478,,74.65013305,1.18915356,15.0293186,67.29356553,21.886126,12.042192,26.04308,,20.97845,53.90540926
H8LV4T-S-ZW,69.6166,20101231,201012,103.928521,80.939394,,,,,0.82578,686.880427,,0,,0,85.461844,0,85.461844,-10.478336,0,0.12492,684.1445,56.931378,,0,,,,,,,0,0,,2.742923,,,0,17.558611,601.208287,7.241279,7.744322,,,,
KB2ZVW-S-CA,,20101231,201012,38.961,2.587,132.948,,0,,0,2076.347,,0,,484.312,1406.699,484.312,1406.699,1.51,0,17.75987,79.20661,0,0,0,0,79.602,0,0,,,0,0,,0,,,1.889,14.93,669.648,16.047,0,36.374,,36.374,
HY2B88-S-US,,20101231,201012,362.359,362.359,109.557,84.549,50.855,235.755,13.026,496.136,65.635,0,39.374,0.255,368.605,0.255,368.605,-8.756,0,8.47992,43.468,218.652,64.837,0,0.732,153.765,17.88,0,,,0,0.058,325.075,18.612,0,343.687,1.226,24.77,123.126,57.306,44.704,18.612,18.672,0,170.12
KQKZZ2-S-US,,20101231,201012,0,0.891493,0.000526,,0,0.020745,0,0.569987,2.553944,1.53782,0.651328,0,-1.984797,1.53782,-1.983957,1.422462,0,-0.04511,43.99652153,0,0.020219,0,0,-12.177937,,0,,,0,0.026061,0,0,0.233076,0,1.112097,-2.723536,2.553944,0.02403599999999,0,-0.89149,0.769932,-0.89149,-2.533199
L8S92K-S-US,0.720885,20101231,201012,7.736741,11.390557,0.01842,0.01842,1.275815,2.133587,0.516131,14.452353,22.271281,7.690289,4.657016,45.737327,-55.14935,53.427616,-55.146078,3.831019,0,-3944685.76971,0.00001398067,8.74624,0.194571,0,0.110345,-169.073666,1.08715,0,,,0,0,3.809931,1.197496,0,5.007427,3.927624,-11.793911,69.598431,-1.709604,0,-2.45632,6.38313,-3.65382,-20.137694
R02WH3-S-US,,20100331,201003,8.24467470562296,9.29184022081589,0,0,0,3.55526095313193,1.84781627322458,6.4458853678971,2.79487950322803,0.2683436006111,2.35700655463013,0.3829835887832,3.25555369375585,0.65132718939431,3.25555369375585,-0.29091589670172,0,0.60802,5.35434827375,0.80742200975802,3.51442610024149,0,0,-1.26450248878813,0.15433251998111,1.80592577990242,,,0,0.0256941114235,6.59626349768021,0.15433251998111,0,6.75059601766132,0.0349947322008,-1.0417539113876,3.19033167414124,-1.05457207463835,0.22842838272788,-0.89283,2.05891162486948,-1.04716,0.7603814499039
GFKKH6-S-US,1942.39,20101231,201012,902.66,890.837,29.045,29.045,0,153.496,1.84,472.682,105.766,17.143,37.745,72.857,206.358,90,206.358,-18.415,0,8.65219,23.85035636983,290.938,100.018,0,0.4,6.318,35.759,0,,,0,0,314.63,36.159,0,350.789,10.602,1.957,266.324,23.386,3.815,47.982,481.197,11.823,47.73
FCPSG3-S-CA,2.54019,20100531,201005,0,2.916285,0.171705,0.13667,0,0.734814,0,15.440078,1.518447,0,1.518447,0,13.53112,0,13.53112,-1.568992,0,2.11377,6.4014278,14.304466,0.563109,0,0,-7.692389,0.064403,0,,,0,0,0.226778,0.064403,0,0.291181,0,-2.898901,1.908958,-3.872767,1.765452,-2.85188,2.625104,-2.91628,-0.783633
TP1NFN-S-US,,20101231,201012,558.588,510.961,14.92,,7.731,101.922,285.404,546.327,75.297,11.249,5.905,1181.238,-791.034,1192.487,-791.034,-5.169,0,-13.62006,58.078607,152.293,61.512,0,24.528,-1559.465,21.594,14.343,0.347,,0,,314.869,46.122,0,360.991,23.185,-25.595,1338.448,26.638,4.78,93.749,149.97,47.627,26.625
HF3X98-S-CA,,20100630,201006,4.39534,8.080671,0,0,0.025628,0.87193,2.221465,3.777972,4.820527,2.172645,2.621674,3.57915,-4.658317,5.751795,-4.658317,-0.44994,0,-0.38115,12.2217087,0.65952,0.699685,0,,-22.037435,0.141284,0,,,0,0.110864,3.254808,0.685653,1.251979,3.940461,1.523846,-5.25802,8.436289,-3.814811,0.283368,-2.99968,4.14021,-3.68533,-3.948597
D1M7HX-S-US,,20101231,201012,132.661,95.046,43.124,43.124,2.409,65.634,63.999,172.224,8.208,0,3.309,0,164.016,0,164.016,0.063,0,9.68186,16.940539,28.979,20.08,0,2.938,113.742,1.428,0.786,,,0,0,35.56,4.366,19.614,39.926,0,35.957,8.208,32.596,37.234,41.981,55.12,37.615,57.426
M1LBQ6-S-CA,29.8525,20100430,201004,53.892,82.861,24.953,24.033,13.754,52.731,18.685,191.638,21.494,1.102,14.244,4.04,52.764,5.142,52.764,-0.277,0,3.22543,16.35875,10.582,11.644,0,,-131.802,,14.046,,,0,1.097,40.758,8.726,14.034,49.484,0.272,-32.574,138.874,-22.045,1.533,-20.243,33.377,-28.969,31.237
